Column Name,Data Type,data type to be confirmed," edouardbruelhart comments"
id,numeric,,
quality_grade,varchar,,
time_observed_at,date and time,,
taxon_geoprivacy,varchar,,
annotations,dictionary,,
uuid,varchar,,
cached_votes_total,numeric,,
identifications_most_agree,varchar,,
species_guess,varchar,,
identifications_most_disagree,varchar,,
tags,hashes/arrays,,
positional_accuracy,numeric,,
comments_count,numeric,,
site_id,numeric,,
license_code,varchar,,
quality_metrics,dictionary,,
public_positional_accuracy,numeric,,
reviewed_by,hashes/arrays,,
oauth_application_id,numeric,,
flags,numeric,? Likely not a numeric but dict or hashes/arrays," clearly not numeric. On the whole project dataset I always have [] as value."
created_at,date and time,,
description,varchar,,
project_ids_with_curator_id,hashes/arrays,,
updated_at,date and time,,
sounds,hashes/arrays,"? No clue, to be checked on larger df."," should correspond to sounds we can upload to have birdsong for example. I have no clue of the format of this."
place_ids,hashes/arrays,,
captive,varchar,,
ident_taxon_ids,hashes/arrays,,
outlinks,dictionary,,
faves_count,numeric,,
ofvs,dictionary,,
num_identification_agreements,numeric,,
comments,dictionary,,
map_scale,numeric,,
uri,URL,,
project_ids,dictionary,"No , it is  hashes/arrays see [137661]",
community_taxon_id,numeric,,
owners_identification_from_vision,varchar,,
identifications_count,numeric,,
obscured,varchar,,
num_identification_disagreements,numeric,,
geoprivacy,varchar,"? No clue, to be checked on larger df."," varchar yes I have for example ""open"" or ""obscured"" in the project dataset."
location,hashes/arrays,,
votes,dictionary,,
spam,varchar,,
mappable,varchar,,
identifications_some_agree,varchar,,
project_ids_without_curator_id,hashes/arrays,,
place_guess,varchar,,
identifications,dictionary,,
project_observations,dictionary,,
photo,dictionary,,
faves,numeric,"Dict. See [{'vote_flag': True, 'user_id': 1378031, 'created_at': '2022-04-06T08:46:00.700Z', 'id': 3738373, 'vote_scope': None, 'user': {'id': 1378031, 'login': 'pmallard', 'spam': False, 'suspended': False, 'created_at': '2018-12-03T22:58:54+00:00', 'login_autocomplete': 'pmallard', 'login_exact': 'pmallard', 'name': None, 'name_autocomplete': None, 'orcid': None, 'icon': 'https://static.inaturalist.org/attachments/users/icons/1378031/thumb.jpeg?1641234782', 'observations_count': 112, 'identifications_count': 106, 'journal_posts_count': 0, 'activity_count': 218, 'species_count': 101, 'universal_search_rank': 112, 'roles': [], 'site_id': 1, 'icon_url': 'https://static.inaturalist.org/attachments/users/icons/1378031/medium.jpeg?1641234782'}}]"," yes dict"
non_owner_ids,dictionary,,
observed_on,date and time,,
photo_url,URL,,
taxon.is_active,varchar,,
taxon.ancestry,hashes/arrays,,
taxon.min_species_ancestry,hashes/arrays,"Comma separated value. Not in an array. Can you specify such data type in FrictionLess See 48460,47126,211194,47125,47124,51820,51821,779191,1244656,1244731,51822,792725,792732,337712"," same on my side"
taxon.endemic,varchar,,
taxon.iconic_taxon_id,numeric,,
taxon.min_species_taxon_id,numeric,,
taxon.threatened,varchar,,
taxon.rank_level,numeric,,
taxon.introduced,varchar,,
taxon.native,varchar,,
taxon.parent_id,numeric,,
taxon.name,varchar,,
taxon.rank_x,varchar,,
taxon.extinct,varchar,,
taxon.id,numeric,,
taxon.ancestor_ids,hashes/arrays,,
taxon.photos_locked,varchar,,
taxon.taxon_schemes_count,numeric,,
taxon.wikipedia_url,URL,,
taxon.current_synonymous_taxon_ids,hashes/arrays,,
taxon.created_at,date and time,,
taxon.taxon_changes_count,numeric,,
taxon.complete_species_count,numeric,?," yes numeric. Here is an example: 1037.0"
taxon.universal_search_rank,numeric,,
taxon.observations_count,numeric,,
taxon.flag_counts.resolved,numeric,,
taxon.flag_counts.unresolved,numeric,,
taxon.atlas_id,numeric,,
taxon.default_photo.id,numeric,,
taxon.default_photo.license_code,varchar,,
taxon.default_photo.attribution,varchar,,
taxon.default_photo.url,URL,,
taxon.default_photo.original_dimensions.height,numeric,,
taxon.default_photo.original_dimensions.width,numeric,,
taxon.default_photo.flags,hashes/arrays,?,"Probably hashes/arrays. In the project dataset it's always ""[]"""
taxon.default_photo.square_url,URL,,
taxon.default_photo.medium_url,URL,,
taxon.iconic_taxon_name,varchar,,
taxon.preferred_common_name,varchar,,
preferences.prefers_community_taxon,varchar,?,"Probably hashes/arrays. In the project dataset it's always ""[]"""
geojson.coordinates,hashes/arrays,,
geojson.type,varchar,,
user.site_id,numeric,,
user.created_at,date and time,,
user.id,numeric,,
user.login,varchar,,
user.spam,varchar,,
user.suspended,varchar,,
user.login_autocomplete,varchar,,
user.login_exact,varchar,,
user.name,varchar,,
user.name_autocomplete,varchar,,
user.orcid,varchar,? I would say so.,I don't have this column in my freshly created table. iNaturalist has maybe removed this
user.icon,URL,,
user.observations_count,numeric,,
user.identifications_count,numeric,,
user.journal_posts_count,numeric,,
user.activity_count,numeric,,
user.species_count,numeric,,
user.universal_search_rank,numeric,,
user.roles,varchar,? Likely not a varchar but dict or hashes/arrays. To be checked,"Probably hashes/arrays. In the project dataset it's always ""[]"""
user.icon_url,URL,,
taxon.default_photo,numeric,,
taxon.conservation_status.place_id,numeric,?,I don't have this column in my freshly created table. iNaturalist has maybe removed this
taxon.conservation_status.source_id,numeric,?,yes numeric
taxon.conservation_status.user_id,numeric,?,yes numeric
taxon.conservation_status.authority,varchar,?,varchar. Here is an example: IUCN Red List
taxon.conservation_status.status,varchar,?,yes varchar
taxon.conservation_status.status_name,varchar,?,yes varchar
taxon.conservation_status.geoprivacy,varchar,?,yes varchar
taxon.conservation_status.iucn,numeric,?,numeric. Here is an example: 40.0
observed_on_details,varchar,?,I don't have this column in my freshly created table. iNaturalist has maybe removed this
created_time_zone,varchar,?,varchar. her is an example: Europe/Paris
observed_time_zone,varchar,?,varchar. her is an example: Europe/Paris
time_zone_offset,numeric,?,I don't know how to define this but not numeric: +01:00
observed_on_string,varchar,?,varchar. here is an example: 2022/04/04 9:52 AM CEST
created_at_details.date,date and time,?,Don't know if it's date ande time. Here you have an example: 2022-04-04
created_at_details.week,numeric,?,Numeric. Here you have an example: 14
created_at_details.month,numeric,?,yes numeric
created_at_details.hour,numeric,?,numeric. Here is an example: 11
created_at_details.year,numeric,,
created_at_details.day,numeric,?,numeric. Here is an example: 13
swiped_loc,hashes/arrays,,
emi_external_id,varchar,,
count,numeric,,
is_approximate_match,varchar,,
is_synonym,varchar,,
matched_name,varchar,,
nomenclature_code,varchar,,
score,numeric,,
search_string,varchar,,
taxon.flags,hashes/arrays,"?. Apparently, see ['incertae_sedis']",I don't have this column in my freshly created table. iNaturalist has maybe removed this
taxon.is_suppressed,varchar,,
taxon.is_suppressed_from_synth,varchar,,
taxon.ott_id,numeric,,
taxon.rank_y,varchar,,
taxon.source,varchar,,
taxon.synonyms,hashes/arrays,,
taxon.tax_sources,hashes/arrays,,
taxon.unique_name,varchar,,
_merge,varchar,,
